,A,B,C,D,E
Direction_True,100.54322606601899,99.88602389941525,87.76880480018731,90.18808156618324,96.47945418449655
Wind_Speed,1.118550173932421,1.1408337241403745,1.1962107079801148,1.31902114073203,0.7150012449874839
Crosswind_Speed,0.9625968857618368,0.9373287085891301,1.0210655229734091,1.2047833560489647,0.562087167714658
Headwind_Speed,1.017320058054766,1.1210349307394734,1.127711035165007,1.1101813871607582,0.5648655661268653
Temperature,3.9829975215127065,4.077875295758688,4.013046004830651,4.013177206370107,4.363843742775605
Globe_Temperature,8.257805550937451,8.127073080259526,8.242651557816295,7.823186869859439,7.950817734146231
Wind_Chill,4.032920371452324,4.127447852847276,4.06707790227351,4.069011197957792,4.374592786175935
Relative_Humidity,19.390978804050324,20.214425745479723,19.355170964011418,19.74477248514976,20.16170782941016
Heat_Stress_Index,3.8725764449092246,3.929269324233937,3.9187055976553324,3.88814143003908,4.2982833827256695
Dew_Point,3.118248198871891,3.1042741850691207,3.17555498985501,3.1736230057997945,3.069623011701569
Psychro_Wet_Bulb_Temperature,2.63515220041187,2.6019728519991188,2.690597228681732,2.6541294009257097,2.645268499131606
Station_Pressure,6.202520988371144,6.069755714457117,6.139339656821912,5.915047217819551,6.240185369824895
Barometric_Pressure,6.202253690096152,6.068679242921268,6.1380471779360235,5.912049294318023,6.239805833414894
Altitude,51.6104741793961,50.45501096417206,51.07381554372864,49.19068601563611,51.88789247750703
Density_Altitude,162.8190539993073,163.90030579705498,164.2759963297163,162.83772822207789,172.380183031638
NA_Wet_Bulb_Temperature,3.164191473248514,3.1319729344666056,3.2373259175903097,3.1602901986945207,3.071186013000985
WBGT,4.01687167891727,3.979366214290523,4.067769087518241,3.937916313886086,3.935717409847468
TWL,28.54411610414145,28.108170010939546,27.68634164875935,24.819544864349226,35.915364164052534
Direction_Mag,100.52699661703112,99.87715909634285,87.77596578759673,90.19598390521257,96.27049335275693
