,A,B,C,D,E
Direction_True,10108.940307762601,9977.217770434554,7703.363096053383,8133.890056588521,9308.285079738369
Wind_Speed,1.2511544916042492,1.3015015861359962,1.4309200578862873,1.7398167696980256,0.5112267803336519
Crosswind_Speed,0.9265927644783866,0.8785851079453664,1.0425748022049617,1.4515029350126065,0.3159419841094861
Headwind_Speed,1.0349401005205527,1.2567193159380559,1.2717321788329317,1.232502712398185,0.31907310779582404
Temperature,15.864269256376364,16.629066927759013,16.104538236887244,16.105591289728583,19.0431322113618
Globe_Temperature,68.19135251709339,66.04931685187906,67.9413047035714,61.20225280074113,63.21550264161421
Wind_Chill,16.264446722475153,17.035825777973596,16.541122663161495,16.556852129105906,19.137062044862528
Relative_Humidity,376.0100589791289,408.62300821951345,374.6226430461106,389.8560404903271,406.49446259849907
Heat_Stress_Index,14.99684832166577,15.439157422365822,15.356253561095237,15.117643779986343,18.475240038215624
Dew_Point,9.723471829767792,9.636518216086554,10.084149493593053,10.071882982941721,9.42258543396781
Psychro_Wet_Bulb_Temperature,6.944027119335519,6.770262722540429,7.239313446989817,7.044402876858267,6.997445432497979
Station_Pressure,38.47126661118455,36.841934433184825,37.69149142182619,34.98778358903481,38.93991344977666
Barometric_Pressure,38.467950836311324,36.82886775346346,37.67562315856838,34.952326858446234,38.93517683871854
Altitude,2663.6410450221115,2545.708131394723,2608.5346341948175,2419.723590688898,2692.3533857573307
Density_Altitude,26510.04434522935,26863.310240368137,26986.602970120963,26516.1257325273,29714.92750202102
NA_Wet_Bulb_Temperature,10.0121076793786,9.80925446223136,10.48027909670194,9.987434139964652,9.432183526452889
WBGT,16.13525808488765,15.835355467436887,16.546745349368983,15.50718489517018,15.489871530176462
TWL,814.7665641667074,790.0692213638812,766.5335138918265,616.009807273444,1289.913383036509
Direction_Mag,10105.677048840585,9975.446909156182,7704.620169945353,8135.315512629364,9268.007890383216
